"whats the first atom on the periodic table?","Beryllium","Phosphorous","Sulfur","Hydrogen"
"where is the city bogota located?","Africa","Europe","Asia","South America"
"what country became independent on july 1 1867?","Mexico","Cuba","Usa","Canada"
"in what us state will you find the cities baton rouge and new orleans?","Illinois","Colorado","Alabama","Louisiana"
"in an orchestra the drum section is more formally known as?","Membranophones","Woodwinds","Intabulation","Percussion"
"what was the name of the company the coyote got his dynamite from?","Stovall","Stark Industries","B Braun","Acme"
"what does it mean if an animal is a marsupial?","It Is Only Found A Few Places In The World","It Lives On Both Land And Water","It Contains A Very Strict Diet","It Contains A Pouch For Carrying Young"
"who was the president of the us confederacy in 1860?","Abraham Lincoln","James Buchanan","Stephen A. Douglas","Jefferson Davis"
"which term does not deal with gymnastics?","Hand Spring","Round Off","Back Flip","Slide"
"what is the carol burnett show?","A Show About A Detective","A Sitcom","No Such Show","A Comedy Variety Show"
"which actor played the title role in the american president?","Michael J Fox","Martin Sheen","Jack Kennedy","Michael Douglas"
"what art tool do women use to apply makeup?","A sponge","A pencil","A brush","All are correct"
"what is another term for ping pong?","Billiards","Badminton","Croquet","Table tennis"
"how many castaways were there on gilligans island?","9","5","6","7"
"what is copd in medicine?","Constructive obsticle post defect","A virus","A bacteria","Chronic obstructive pulmonary disease"
"what protein carries oxygen though out the body?","Keratin","Chitin","Elastin","Hemoglobin"
"snells law refers to which property of light?","Oscillation","Propagation","Velocity","Refraction"
"which waterfall has the largest volume of water traveling through it?","Vermilion Falls","Inga Falls","Victoria Falls","Niagara Falls"
"which of the following is not an equestrian sport?","Thoroughbred Racing","Show Jumping","Dressage","Horseshoes"
"what dont you need to play tennis?","Racquet","Ball","Court","Bat"
"what famous artist is known for his work in the sistine chapel in st peters basillica?","Leonardo Da Vinci","Pablo Picasso","Donatello","Michelangelo"
"which of these languages has the highest number of speakers?","Sanskrit","French","English","Mandarin Chinese"
"what was the first movie to gross over 100 mil at the box office?","The Godfather","Gone With The Wind","Star Wars A New Hope","Jaws"
"which is not a wrestler?","John Cena","Randy Orton","Paige","Mike Tyson"
"who is not from the tv show friends?","Joey","Rachel","Ross","Garfield"
"in what language is the scientific name of every living organism?","Greek","German","Spanish","Latin"
"how many players are in a checkers game?","3","Unlimited","1","2"
"the city of moscow belongs to which country?","Italy","France","China","Russia"
"what is the art of making fonts called?","Fontography","Fontlining","Wordography","Typography"
"where did hockey come from?","Greenland","Usa","Russia","Canada"
"what cartoon did jim davis create?","Foxtrot","The Family Circus","Drabble","Garfield"
"how does a giraffe give birth?","In Water","Breached","Using Trees To Brace Themselves","Standing Up"
"who saved john smith when he was attacked by a native tribe?","Sacajawea","Louis","John Rolfe","Pocahontas"
"which country is u2 from?","England","United States","Scotland","Ireland"
"which actor plays the lead role in the movie brave heart?","Quentin Tarantino","Robert Downey Jr.","Ben Affleck","Mel Gibson"
"the mongoose is a small mammal famously known for regularly killing and eating which of these animals?","Bird Eating Spider","Black Scorpion","Other Mongoose","Cobra"
"what is triskadekaphobia the fear of?","Basements","Magic Tricks","Bungee Jumping","The Number 13"
"in the lion king movie who blamed simba for mufasas death?","The Hyenas","Zazu","Nala","Scar"
"in dreamworks movie shrek what is the name of his donkey friend?","Jimmy","Puss","Sebastian","Donkey"
"which of these games were created by zynga?","Word With Friends","Farmville","Mafia Wars","All Of Them"
"what does one try and catch in quidditch?","Golden Wings","Golden Ball","Golden Nut","Golden Snitch"
"who was arrested and criticized for his observations about the sun?","Plato","Copernicus","Aristotle","Galileo"
"which one of the following is considered a carbohydrate?","Omega-3","Amino Acids","Triglycerides","Starch"
"what is hydrogens symbol in the periodic table of elements?","Fg","He","None","H"
"what is the name of the main spaceship in the movie star trek?","Millennium Falcon","Death Star I","Odyssey Ii","U.S.S. Enterprise"
"what is the name of the mom in the simpsons family?","Maggie","Meg","Lisa","Marge"
"what mlb player has 1406 career stolen bases?","Ty Cobb","Lou Brock","Babe Ruth","Rickey Henderson"
"in cheerleading the person on the top of the stunt is called?","A Topper","A Tip","A Watcher","A Flyer"
"how high is the official basketball hoop from the ground?","12 feet","10.5 feet","11 3/4 feet","10 feet"
"french artist man ray was most known for?","Oil Paintings","Sculptures","Typography","Photography"
"who wrote the novel the casual vacancy?","Dan Brown","Stephanie Meyer","Wally Lamb","J.K. Rowling"
"what was a fortnight?","None Of These","Guarding The Fort On Night Shift","Safety Gained Inside A Fort At Night","Two Weeks"
"what state are the baltimore ravens from?","Delaware","Virginia","New York","Maryland"
"which medium for listening to recordings was first?","Reel To Reel Tape","8 Track Tapes","Cassette Tapes","Phonographs"
"which of the following is a tertiary color?","Purple","Magenta","Red","Blue-Violet"
"which artist drew himself into his painting school of athens?","Michelangelo","Da Vinci","Botticelli","Raphael"
"who was famous for their hook shot from the l a lakers in the 80s?","James Worthy","Erwing 'Magic' Johnson","Byron Scott","Kareem-Abdul Jabbar"
"what sport are you allowed a handicap?","Tennis","Baseball","Soccer","Golf"
"what is winnie the poohs favorite food?","Burgers","Pizza","Sausage","Honey"
"what is navy pier?","A Building","A Lake","A Restaurant","An Amusement Park"
"which is the deepest ocean in the world?","Indian","Artic","Red sea","Pacific"
"which stephen king book involves a writer being kidnapped and tortured by his 1 fan?","The Dark Half","The Shining","The Girl Who Loved Tom Gordon","Misery"
"the rock group led zeppelins first album had this on its cover?","Planes","Elephants","Zeppelins","The Hindenburg"
"when was mtv launched?","September 5, 1976","July 12, 1989","January 2, 1990","August 1,1981"
"who is the roman equivalent of aphrodite?","Hera","Diana","Cleopatra","Venus"
"who was the leader of nazi germany?","Stalin","Churchill","Otto fon Biscmark","Hitler"
"what ancient greek play writer wrote oedipus the king?","Aristotle","Plato","No One Knows","Sophocles"
"which is not a part in a reciprocating engine?","Spark Plug","Cylinder","Camshaft","Catalytic Converter"
"whats the most populated french speaking country in the world?","France","Canada","Belgium","Democratic Republic Of The Congo"
"what is stewies teddy bears name in the tv show family guy?","Robert","Charlie","Ted","Rupert"
"what disney princess is associated with dwarves?","Belle","Aurora","Mulan","Snow White"
"which city houses the tennessee titans?","Oxford","Gatlinburg","Greensborough","Nashville"
"which of the following novels developed directly out of an informal ghost story telling contest among famous authors?","Pet Cemetary","Dracula","The Fall Of The House Of Usher","Frankenstein"
"which band had kurt cobain as their lead singer?","Led Zeppelin","The Who","Def Leppard","Nirvana"
"which startrek the next generation character was an android?","Worf","Locutus","Q","Data"
"which is the tallest land animal?","Ostrich","Elephant","Giant Eland","Giraffe"
"what holy city were the crusades fought for by the christian armies?","Nazarine","Quarth","Olympia","Jerusalem"
"what is the sixth element in the periodic table?","Boron","Nitrogen","Oxygen","Carbon"
"what is the mountain range called that runs through the western part of the united states?","Sierra Madres","The Appalachian Mountains","The Andes Mountains","The Rocky Mountains"
"in the game of volleyball how is the ball put into play?","A Throw In.","A Jump Ball.","A Set.","A Serve."
"why did wendys founder dave thomas cut his hamburgers in squares?","That was the shape of his hamburger press","It was a mistake by his assistant","His original grill was square","To show that they don't cut corners"
"which novel was not written by victor hugo?","Les Miserables","The Hunchback Of Notre Dame","Toilers Of The Sea","A Tale Of Two Cities"
"how did uncle jesse from full house get his full body cast?","A bar fight","Falling from a tree","Tripping over one of the girls' toys","Motorcycle accident"
"who plays stephanie tanner in the show full house?","Mary-Kate Olsen","Ashely Olsen","Selena Gomez","Jodie Sweetin"
"what element are all life forms on earth based on?","Oxygen","Sulfur","Hydrogen","Carbon"
"in volleyball how many times in a row can a player touch the ball?","2","3","4","1"
"what is the most famous statue in egypt?","King Tut","The Buda","The Lion","The Sphinx"
"what sport requires the lowest score to win?","Soccer","Baseball","Vollyball","Golf"
"what does pns stand for?","Photo Neuron System","Post Neonatal Services","Pre Neonatal Services","Peripheral Nervous System"
"what u s forest service mascot was inspired by the life of a real animal?","Yogi The Bear","Woodsy The Owl","Ranger Rick","Smokey Bear"
"what video game character wore a red hat and wore blue overalls?","Wario","Luigi","Waluigi","Mario"
"who was not in a few good men?","Tom Cruise","Kevin Bacon","Jack Nicholson","Harrison Ford"
"what is the name of the trivia crack science symbol?","Thermometer","Flask","Boiling Tube","Test Tube"
"in sewing if you hem an article of clothing you make it?","Longer","Wider","Different Colors","Shorter"
"famous mexican painter frida kahlo was most recognized because of this?","Her Flamboyant Dresses","She Was Bald","She Had No Hands","Her Unibrow"
"what country did napoleon rule when he came into power?","England","Russia","Prussia","France"
"in what famous edgar allen poe poem did a character only say nevermore?","Lenore","The Bells","A Haunted Palace","The Raven"
"what is the name of the first female coach in the nfl?","Jennifer Litz","Sarah Thomas","Shannon Easton","Jen Welter"
"in the harry potter series who is ron?","A Death Eater","Harry's Enemy","A Boy In Harry's Class","Harry's Friend"
"according to mary poppins just a spoonful of what substance helps the medicine go down?","Cinnamon","Syrup","Lemon","Sugar"
"how many protons are in the nucleus of a gold atom?","57","82","74","79"
"if it is july what is the season in new zealand?","Summer","Typhoon","Dry","Winter"
"who played the role of patch adams in the movie patch adams?","Johnny Depp","Nicolas Cage","Liam Neeson","Robin Williams"
"which state is called the gopher state?","Idaho","Ohio","Kansas","Minnesota"
"why didnt india play in the 1959 world cup?","They Didn't Qualify.","They Were Disqualified.","The Indian Team Hated Fifa.","They Couldn't Play Barefoot."
"what movie did julia roberts portray a call girl who shops on rodeo drive?","Last Night In Vegas","Despicable Me","The Good Wife","Pretty Woman"
"what is the name of this hydrocarbon ch3ch2ch2ch3?","Butene","Butyne","2-3-Dimethylbutan-1-Ol","Butane"
"what was the profession of kareem abdul jabbar?","DJ","Soccer player","Boxer","Basketball player"
